My occupation:,The most evil thing I've done:,Why we should get together:,Fun fact:,YouTube Link
Arts + Entertainment,"Stole over $25,000 worth of hardware from my last employer after putting in my two weeks which crippled our back end engineering org ",it'd be so fun to sit on the computer and also go outside together also I can cook and clean,cute on a leash,https://www.youtube.com/watch?v=lrpXArn3hII
Legal,Toppled a local government,The world gets nastier by the day. The only thing that can combat that is coming together with those that support us and also we'd be v hot and sexy,I'm not active on socials yet in a social setting as very active. Mysterious yet quickly written off. I can commune with anyone and have an open mind,https://www.youtube.com/watch?v=U2WDdccgaDY
Health Reporting,overseas corporate espionage on a crotch rocket,My years of experience building Japanese model kits has trained my fingers in navigating tight spaces,I grew up on a cattle farm (still have the hat!) and I used to review VR adult video,https://www.youtube.com/watch?v=G9__lmkXbZ8
Arts + Entertainment,"- ok first of all I feel like I should be able to defend some of my choices in the above spreadsheet and does that make me evil?? because I like using my WORDS? and I want to say I'm between gigs but I waNT to go to the gym? and basement? I wanna be a cool kid too but I'm new here and I'm scared 
- I have a potentially slightly evil cat (he would be great if we were to be evil together as a good mascot 
- I hooked up with a coworker ,  i do not recommend this the vibes are bad
- i really want to leave meta but I don't think I can
- honestly I haven't signed up for blue sky yet","real talk is that I'm probably not evil enough for u but I think ur cool and i'm trying to be more evil and I think I could be inspired by you
also I love google forms and honestly kinda just wanted to fill it out","i have been a fisherman commercially 

i want to bring this vibe into this year and this has been on repeat in my brain for a week
https://www.instagram.com/p/DF4VzptAW_y",https://www.youtube.com/watch?v=7IxdQUpQjqc
Arts + Entertainment,I will not perjure myself in writing but you can ask in person,because I want to cast spells,the hottest scene in any move ever is Eli Roth in Inglorious Basterds killing the nazi with a bat,https://www.youtube.com/watch?v=w5tGsqWqb8s
Crypto,working with crypto communists in africa to dump on their local currencies,"I'm very mutlidisciplinary (art/code/writing/singing) , got into crypto to tear down capitalism, I can match your adhd/mania/creativity,   very domesticated (cook/clean/mental labor) , only date seriously , big feminist (invited to parliment to discuss sex harm legal reform I spearheaded), undefeated hackathon winner (4:0; ethdenver win gaskiller.xyz) , gender abolitionist (but very straight presenting) ","if you don't like cuddling it's not going to work out because i'm a grade A superb cuddler :( 
I'm really loving , supportive , and emotionally intelligent and will refer to you (affectionality) by demeaning terms a lot.   

yea just in general if you decide to go with a different gay evil bf i'd still like to be friends and introduce you to some other crypto leftists (nyc/euro) sometime!  

",https://www.youtube.com/watch?v=PBvwcH4XX6U
AI,Made someone break up,Mildy uncertainty follows. We potentially have compatible and contrasting personalities with overlapping interests in activities and culture.,"Currently trying to make a reagent free drug testing system using laser scattering, hopefully  under $1K. ",https://www.youtube.com/watch?v=aX8-zPSZBVk
Arts + Entertainment,I killed a man in 2013,We shouldn't.,I'm extremely racist and homophobic.,https://www.youtube.com/watch?v=T4HDCn-sacA
Crypto,best not written,Y not!,ummmmm,https://www.youtube.com/watch?v=-7NlpY1gIBI
Tech but not the cool current thing,Hmm probably making lots of money off subscriptions in my apps that really shouldn’t be subscriptions in the first place LOL,I like you and also I really need 4o image generation access 🥺,I am capable of being fruity with it but you have to extract it out of me. Don’t fear it’s been done before,https://www.youtube.com/watch?v=uVIDsEWkKuo
